,"Type","Date","Name","Num","Item","Qty","Cost","On Hand","Avg Cost","Asset Value"
"Inventory",,,,,,,,"",,""
"0331/KHAKI S/M (FELT IVY, KHAKI)",,,,,,,,"",,""
"Total 5LASER KHAKI (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, KHAKI)",,,,,,,,4.00,,0.00
"5LASER L.GRAY (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, LIGHT GRAY)",,,,,,,,"",,""
,"Item Receipt","05/20/2025","EPOCH",,"5LASER L.GRAY",108,0.00,108,0.00,0.00
,"Invoice","06/13/2025","E & E BABY COUTURE","431546","5LASER L.GRAY",-3,"",105,0.00,0.00
"Total 5LASER L.GRAY (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, LIGHT GRAY)",,,,,,,,105.00,,0.00
"5LASER NAVY (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, NAVY)",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5LASER NAVY",12,"",12,0.00,0.00
,"Invoice","03/18/2025","GRAND BAZAAR INC","430975","5LASER NAVY",-3,"",9,0.00,0.00
,"Build Assembly","03/31/2025",,"19","5LASER NAVY",-1,"",8,0.00,0.00
,"Build Assembly","06/05/2025",,"69","5LASER NAVY",-1,"",7,0.00,0.00
,"Invoice","06/13/2025","E & E BABY COUTURE","431546","5LASER NAVY",-3,"",4,0.00,0.00
"Total 5LASER NAVY (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, NAVY)",,,,,,,,4.00,,0.00
"5LASER TAN/BLACK (5 PANEL LASER-CUT WATERPROOF PERFORATED SNAPBACK CAPS, TAN/BLACK)",,,,,,,,"",,""
,"Inventory Adjust","03/10/2025",,,"5LASER TAN/BLACK",12,"",12,0.00,0.00
,"Invoice","03/18/2025","GRAND BAZAAR INC","430975","5LASER TAN/BLACK",-3,"",9,0.00,0.00
,"Build Assembly","03/31/2025",,"23","5LASER TAN/BLACK",-1,"",8,0.00,0.00
,"Build Assembly","03/31/2025",,"27","5LASER TAN/BLACK",-2,"",6,0.00,0.00
,"Build Assembly","04/22/2025",,"34","5LASER TAN/BLACK",-2,"",4,0.00,0.00
