,"Type","Date","Num","Memo","Name","Item","Qty","Sales Price","Amount","Balance"
,"Invoice","04/03/2017","406156","IVY CAP, RUST, LARGE","AMERICAN BEAUTY LLC.","IV1860/RUST-L (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13185.00
,"Invoice","04/03/2017","406156","IVY CAP, RUST, EXTRA LARGE","AMERICAN BEAUTY LLC.","IV1860/RUST-XL (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13218.00
,"Invoice","04/03/2017","406156","IVY CAP, TURQUOISE, SMALL","AMERICAN BEAUTY LLC.","IV1860/TQS-S (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13251.00
,"Invoice","04/03/2017","406156","IVY CAP, TURQUOISE, MEDIUM","AMERICAN BEAUTY LLC.","IV1860/TQS-M (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13284.00
,"Invoice","04/03/2017","406156","IVY CAP, TURQUOISE, LARGE","AMERICAN BEAUTY LLC.","IV1860/TQS-L (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13317.00
,"Invoice","04/03/2017","406156","IVY CAP, TURQUOISE, EXTRA LARGE","AMERICAN BEAUTY LLC.","IV1860/TQS-XL (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13350.00
,"Invoice","04/03/2017","406156","IVY CAP, ROYAL BLUE, SMALL","AMERICAN BEAUTY LLC.","IV1860/ROYAL-S (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13383.00
,"Invoice","04/03/2017","406156","IVY CAP, ROYAL BLUE, MEDIUM","AMERICAN BEAUTY LLC.","IV1860/ROYAL-M (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13416.00
,"Invoice","04/03/2017","406156","IVY CAP, ROYAL BLUE, EXTRA LARGE","AMERICAN BEAUTY LLC.","IV1860/ROYAL-XL (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13449.00
,"Invoice","04/03/2017","406156","IVY CAP, BURGUNDY, SMALL","AMERICAN BEAUTY LLC.","IV1860/BURGUNDY-S (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13482.00
,"Invoice","04/03/2017","406156","IVY CAP, BURGUNDY, MEDIUM","AMERICAN BEAUTY LLC.","IV1860/BURGUNDY-M (IVY CAP, 3 PCS MINIMUM)",12,2.75,33.00,13515.00
,"Invoice","04/03/2017","406156","IVY CAP, BURGUNDY,  LARGE","AMERICAN BEAUTY LLC.","IV1860/BURGUNDAY-L (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,13581.00
,"Invoice","04/03/2017","406156","IVY CAP, BURGUNDY,  EXTRA LARGE","AMERICAN BEAUTY LLC.","IV1860/BURGUNDY-XL (IVY CAP, 3 PCS MINIMUM)",24,2.75,66.00,13647.00
,"Invoice","04/03/2017","406156","NEWSBOY, BLACK","AMERICAN BEAUTY LLC.","NSB2412/BLACK (NEWSBOY, BLACK)",36,4.50,162.00,13809.00
,"Invoice","04/03/2017","406156","NEWSBOY, KHAKI","AMERICAN BEAUTY LLC.","NSB2412/KHAKI (NEWSBOY, KHAKI)",12,4.50,54.00,13863.00
,"Invoice","04/03/2017","406156","NEWSBOY, WHITE","AMERICAN BEAUTY LLC.","NSB2412/WHITE (NEWSBOY, WHITE)",12,4.50,54.00,13917.00
,"Invoice","04/03/2017","406156","NEWSBOY, NAVY","AMERICAN BEAUTY LLC.","NSB2412/NAVY (NEWSBOY, NAVY)",12,4.50,54.00,13971.00
,"Invoice","04/03/2017","406156","NEWSBOY, LT GREY","AMERICAN BEAUTY LLC.","NSB2412/LT GREY (NEWSBOY, LT GREY)",12,4.50,54.00,14025.00
,"Invoice","04/03/2017","406156","PATCHWORK NEWSBOY, MULTI STRIPE","AMERICAN BEAUTY LLC.","NSB2407 (PATCHWORK NEWSBOY, MULTI STRIPE)",12,5.00,60.00,14085.00
,"Invoice","04/03/2017","406156","PATCHWORK NEWSBOY, MULTI PLAID","AMERICAN BEAUTY LLC.","NSB2408 (PATCHWORK NEWSBOY, MULTI PLAID)",12,5.00,60.00,14145.00
,"Invoice","04/03/2017","406156","PATCH WORK IVY CAP","AMERICAN BEAUTY LLC.","IV2413 (PATCH WORK IVY CAP)",12,4.50,54.00,14199.00
,"Invoice","04/03/2017","406156","PATCH WORK IVY CAP","AMERICAN BEAUTY LLC.","IV2414 (PATCH WORK IVY CAP)",12,4.50,54.00,14253.00
,"Invoice","04/03/2017","406156","IVY CAP, BLACK","AMERICAN BEAUTY LLC.","IV1509/BLACK (IVY CAP, 6 PCS MINIMUM)",36,4.00,144.00,14397.00
,"Invoice","04/03/2017","406156","IVY CAP, DK GREY","AMERICAN BEAUTY LLC.","IV1509/DK GREY (IVY CAP, 6 PCS MINIMUM)",24,4.00,96.00,14493.00
,"Invoice","04/03/2017","406156","IVY CAP, BLUE","AMERICAN BEAUTY LLC.","IV1509/BLUE (IVY CAP, BLUE, SIZE L/XL  )",24,4.00,96.00,14589.00
,"Invoice","04/03/2017","406156","UPS GROUND","AMERICAN BEAUTY LLC.","FREIGHT (UPS GROUND)",1,110.00,110.00,14699.00
,"Invoice","09/26/2017","407548","HAT & SCARF SET, ASSORTED.","AMERICAN BEAUTY LLC.","SET2049/A (HAT & SCARF SET, ASSORTED)",36,4.75,171.00,14870.00
,"Invoice","09/26/2017","407548","MEN'S BEANIE AND SCARF SETS, ASSORTED COLOR","AMERICAN BEAUTY LLC.","SET2353 (MEN'S BEANIE/SHERPA LINING AND SCARF SETS, ASSORTED COLOR 12PCS)",36,4.75,171.00,15041.00
,"Invoice","09/26/2017","407548","CHUNKY CABLE KNIT BERET WITH SHERPA FLEECE LINING INFINITY SCARF, ASSORTED COLOR","AMERICAN BEAUTY LLC.","SET2380/A (CHUNKY CABLE KNIT BERET WITH SHERPA FLEECE LINING INFINITY SCARF, ASSORTED COLOR (6 D...",36,5.75,207.00,15248.00
,"Invoice","09/26/2017","407548","WOOL BERETS, ASSORTED COLOR","AMERICAN BEAUTY LLC.","BR1661 (WOOL BERETS, ASSORTED COLOR,)",36,4.75,171.00,15419.00
,"Invoice","09/26/2017","407548","HEADWRAPS, ASSORTED","AMERICAN BEAUTY LLC.","HB2015 (HEADWRAPS, ASSORTED. 12PCS)",36,2.25,81.00,15500.00
,"Invoice","09/26/2017","407548","MULTI COLOR BEANIE WITH FUR POMPOM, ASSORTED COLOR","AMERICAN BEAUTY LLC.","BN2379 (MULTI COLOR BEANIE WITH FUR POMPOM, ASSORTED COLOR)",24,3.75,90.00,15590.00
,"Invoice","09/26/2017","407548","SCARF, ASSORTED","AMERICAN BEAUTY LLC.","SC2033 (SCARF, ASSORTED.)",36,3.00,108.00,15698.00
,"Invoice","09/26/2017","407548","FAUX LEATHER IVY CAP, BLACK","AMERICAN BEAUTY LLC.","IV2378/BLACK (FAUX LEATHER IVY CAP, BLACK)",24,4.75,114.00,15812.00
,"Invoice","09/26/2017","407548","FAUX LEATHER IVY CAP, GREY","AMERICAN BEAUTY LLC.","IV2378/GREY (FAUX LEATHER IVY CAP, GREY)",12,4.75,57.00,15869.00
,"Invoice","09/26/2017","407548","FAUX LEATHER IVY CAP, BROWN","AMERICAN BEAUTY LLC.","IV2378/BROWN (FAUX LEATHER IVY CAP, BROWN)",12,4.75,57.00,15926.00
,"Invoice","09/26/2017","407548","FAUX LEATHER IVY CAP, TAN","AMERICAN BEAUTY LLC.","IV2378/TAN (FAUX LEATHER IVY CAP, TAN)",12,4.75,57.00,15983.00
,"Invoice","09/26/2017","407548","IVY HAT, BLACK","AMERICAN BEAUTY LLC.","IV2146/BLACK (IVY HAT, BLACK)",24,4.75,114.00,16097.00
,"Invoice","09/26/2017","407548","IVY HAT,CHARCOAL","AMERICAN BEAUTY LLC.","IV2146/CHARCOAL (IVY HAT,CHARCOAL)",12,4.75,57.00,16154.00
,"Invoice","09/26/2017","407548","KNIT BEANIE WITH FAUX FUR ROLL UP BRIM, ASSORTED COLOR","AMERICAN BEAUTY LLC.","BN2383 (KNIT BEANIE WITH FAUX FUR ROLL UP BRIM, ASSORTED COLOR)",24,5.75,138.00,16292.00
,"Invoice","09/26/2017","407548","KNIT BEANIE WITH SHERPA  FLEECE, BLACK COLOR","AMERICAN BEAUTY LLC.","BN2384/B (KNIT BEANIE WITH SHERPA  FLEECE, BLACK COLOR 12PCS)",36,2.00,72.00,16364.00
,"Invoice","09/26/2017","407548","KNIT BEANIE WITH SHERPA  FLEECE, ASSORTED COLOR","AMERICAN BEAUTY LLC.","BN2384/A (KNIT BEANIE WITH SHERPA  FLEECE, ASSORTED COLOR 12PCS)",36,2.00,72.00,16436.00
,"Invoice","09/26/2017","407548","CABLE KNIT BEANIE WITH SHERPA  FLEECE, ASSORTED COLOR","AMERICAN BEAUTY LLC.","BN2385/A (CABLE KNIT BEANIE WITH SHERPA  FLEECE, ASSORTED COLOR 12PCS)",36,2.00,72.00,16508.00
,"Invoice","09/26/2017","407548","CABLE KNIT BEANIE WITH SHERPA  FLEECE, BLACK COLOR","AMERICAN BEAUTY LLC.","BN2385/B (CABLE KNIT BEANIE WITH SHERPA  FLEECE, BLACK COLOR 12PCS)",36,2.00,72.00,16580.00
,"Invoice","09/26/2017","407548","UPS GROUND FREIGHT","AMERICAN BEAUTY LLC.","FREIGHT (UPS GROUND)",1,92.00,92.00,16672.00
,"Invoice","09/25/2019","413160","FAUX LEATHER PORKPIE, ASSORTED","AMERICAN BEAUTY LLC.","F1954 (FAUX LEATHER PORKPIE WITH LINING, ASSORTED)",24,6.25,150.00,16822.00
,"Invoice","09/25/2019","413160","FAUX LEATHER FEDORA, ASSORTED","AMERICAN BEAUTY LLC.","F4095 (FAUX LEATHER FEDORA, ASSORTED)",24,6.25,150.00,16972.00
,"Invoice","09/25/2019","413160","FELT FEDORA, BLACK","AMERICAN BEAUTY LLC.","HE09/BLACK (FELT FEDORA, BLACK prepacked 6 pcs)",24,14.00,336.00,17308.00
,"Invoice","09/25/2019","413160","FELT FEDORA, BURGUNDY","AMERICAN BEAUTY LLC.","HE09/BURGUNDY (FELT FEDORA, BURGUNDY prepacked 6 pcs)",12,14.00,168.00,17476.00
,"Invoice","09/25/2019","413160","FELT FEDORA, NAVY","AMERICAN BEAUTY LLC.","HE09/NAVY (FELT FEDORA, NAVY prepacked 6 pcs)",12,14.00,168.00,17644.00
,"Invoice","09/25/2019","413160","FELT HAT, BLACK","AMERICAN BEAUTY LLC.","HL88/BLACK (FELT HAT WITH SATIN LINING, BLACK prepack 6 pcs)",12,24.00,288.00,17932.00
,"Invoice","09/25/2019","413160"," FELT HAT, TAN","AMERICAN BEAUTY LLC.","HL88/TAN (FELT HAT WITH SATIN LINING, TAN prepack 6 pcs)",6,24.00,144.00,18076.00
,"Invoice","09/25/2019","413160","FELT FEDORA, CHARCOAL","AMERICAN BEAUTY LLC.","HE53/CHARCOAL (FELT FEDORA WITH SATIN LINING, CHARCOAL prepack 6 pcs)",12,17.00,204.00,18280.00
,"Invoice","09/25/2019","413160","FELT FEDORA, BROWN","AMERICAN BEAUTY LLC.","HE53/BROWN (FELT FEDORA WITH SATIN LINING, BROWN prepack 6 pcs)",6,17.00,102.00,18382.00
,"Invoice","09/25/2019","413160","FELT FEDORA, BURGUNDY","AMERICAN BEAUTY LLC.","HE53/BURGUNDY (FELT FEDORA WITH SATIN LINING, BURGUNDY prepack 6 pcs)",6,17.00,102.00,18484.00
,"Invoice","09/25/2019","413160","SOLID COLOR WOOL BLEND NEWSBOY CAP, BLACK","AMERICAN BEAUTY LLC.","NSB1595 BLACK (SOLID COLOR WOOL BLEND NEWSBOY CAP, BLACK prepack 6 PCs)",24,6.75,162.00,18646.00
,"Invoice","09/25/2019","413160","NEWSBOY CAP, BROWN","AMERICAN BEAUTY LLC.","NSB1597 (NEWSBOY CAP, BROWN 6PCS)",12,6.75,81.00,18727.00
,"Invoice","09/25/2019","413160","HERRINGBONE NEWSBOY CAP, DK GREY","AMERICAN BEAUTY LLC.","NSB2317/DK GREY (HERRINGBONE NEWSBOY CAP, DK GREY hangtag mark black 6PCS)",12,6.75,81.00,18808.00
,"Invoice","09/25/2019","413160","PATCHWORK NEWSBOY CAP, BLUE","AMERICAN BEAUTY LLC.","NSB3048/BLUE (PATCHWORK NEWSBOY CAP, BLUE)",6,6.75,40.50,18848.50
,"Invoice","09/25/2019","413160","HERRINGBONE NEWSBOY CAP, BLACK/NAVY","AMERICAN BEAUTY LLC.","NSB2746 NAVY/BK (HERRINGBONE NEWSBOY CAP, NAVY/BLACK 6PCS)",6,6.75,40.50,18889.00
,"Invoice","09/25/2019","413160","SOLID COLOR WOOL BLEND NEWSBOY CAP, CHARCOAL box outside write gray","AMERICAN BEAUTY LLC.","NSB1595 CHARCOAL (SOLID COLOR WOOL BLEND NEWSBOY CAP, CHARCOAL prepack 6 PCs)",6,6.75,40.50,18929.50
,"Invoice","09/25/2019","413160","PATCH IVY NEWSBOY CAP, GRAY","AMERICAN BEAUTY LLC.","NSB2760/GRAY (PATCH IVY NEWSBOY CAP, GRAY match color with SC053 6PCS)",6,6.75,40.50,18970.00
,"Invoice","09/25/2019","413160","IVY CAP, BLACK","AMERICAN BEAUTY LLC.","IV1581/BLACK (IVY CAP, BLACK 6PCS)",24,5.75,138.00,19108.00
